Date,Record Type,Record Number,Status,Address,Description,Entity ID,Entity URL,Record Type Entity ID,Record Type URL,Status Entity ID,Status URL
02/13/2025,Residential Demolition,BR-DMO-25-00104,Awaiting Plans,10636 GANDY BLVD, 43, ST PETERSBURG 33702,Demolition of destroyed trailer home due to the storm,WyzdVKN3u6xQRDdcCbEFvD,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/WyzdVKN3u6xQRDdcCbEFvD,WJWfwXVv82ZNomkBJgEAXN,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/WJWfwXVv82ZNomkBJgEAXN,TrbTyCwww7mxV7V5ZCv48v,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/TrbTyCwww7mxV7V5ZCv48v
02/11/2025,Commercial Electrical,BC-ELE-25-00045,Incomplete Submittal,10596 GANDY BLVD, ST PETERSBURG FL 33702,Fire Alarm Panel Relocate,,,Ru1ni1xBN6JwYcomEQSfVF,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Ru1ni1xBN6JwYcomEQSfVF,4DRWmnannepX9iHUHTG2s6,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/4DRWmnannepX9iHUHTG2s6
02/11/2025,Express Building Permit,EBP-25-02988,Issued,6443 26TH WAY N, ST PETERSBURG FL 33702,Reroof 21sq. with Owens Corning shingles FL10674.1 R20 and Owens Corning Underlayment FL15216.1 R13. Reroof 4sq. flat roof with CertainTeed Modified FL2533.1 R32,,,Q5J1t9jeNJ7e4wx5cYutJ5,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Q5J1t9jeNJ7e4wx5cYutJ5,BSWt87BvR1XmpYibZDqFyM,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/BSWt87BvR1XmpYibZDqFyM
02/07/2025,Express Building Permit,25TMP-011454,N/A,6599 31ST ST N, ST PETERSBURG FL 33702,Disconnect old service meter, provide a new 150 amp meter main service box, and add 1 GFCI receptacle for temp power. New meter and service will be permanent after temp power.,,,Q5J1t9jeNJ7e4wx5cYutJ5,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Q5J1t9jeNJ7e4wx5cYutJ5,WNhSEPKdRXnEj6B1m41asS,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/WNhSEPKdRXnEj6B1m41asS
02/07/2025,Express Building Permit,EBP-25-02793,Issued,6563 28TH ST N, ST PETERSBURG FL 33702,Remove old roofing system and install Atlas Shingle roofing system (30sq with 4/12 pitch). PPI - Nobility Inspections,,,Q5J1t9jeNJ7e4wx5cYutJ5,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Q5J1t9jeNJ7e4wx5cYutJ5,BSWt87BvR1XmpYibZDqFyM,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/BSWt87BvR1XmpYibZDqFyM
02/06/2025,Residential Plumbing,BR-PLB-25-00053,Awaiting Plans,3231 66TH AVE N, ST PETERSBURG FL 33702,Replace 40-gallon water heater,,,8weDS1pBNPuU471a9bopUx,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/8weDS1pBNPuU471a9bopUx,TrbTyCwww7mxV7V5ZCv48v,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/TrbTyCwww7mxV7V5ZCv48v
02/05/2025,Residential Electrical,BR-ELE-25-00132,Closed - Withdrawn,6599 31ST ST N, ST PETERSBURG FL 33702,Add a 150 amp meter main/tug box disconnect on side of house for temp service. Will be a permanent system after temp use.,,,7yZzXj2VM9Fg2ZJSj1dxn6,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/7yZzXj2VM9Fg2ZJSj1dxn6,VPVR4yC1fnmufhdDVgKyDo,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/VPVR4yC1fnmufhdDVgKyDo
02/05/2025,Residential Revision-Supplement,BR-SFR-24-00209.001,Closed - Supp-Rev Approved,6485 31ST ST N, ST PETERSBURG FL 33702,Shifting the house 4' to the North to allow for more room between the new build and the adjacent home.,,,F48g7BBR2NrPcaoTr7pKJo,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/F48g7BBR2NrPcaoTr7pKJo,RUHmk85M4tprUKSpM2SyAB,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/RUHmk85M4tprUKSpM2SyAB
02/04/2025,Commercial Demolition,BC-DMO-25-00005,Awaiting Plans,10490 GANDY BLVD, ST PETERSBURG FL 33702,Full commercial building demolition,,,V2CG2Ap3FafoXX1GvxpuhC,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/V2CG2Ap3FafoXX1GvxpuhC,TrbTyCwww7mxV7V5ZCv48v,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/TrbTyCwww7mxV7V5ZCv48v
02/04/2025,Express Building Permit,EBP-25-02511,Submitted,10947 1ST WAY N, ST PETERSBURG FL 33702,Remove and replace 18sq of shingles,,,Q5J1t9jeNJ7e4wx5cYutJ5,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Q5J1t9jeNJ7e4wx5cYutJ5,X99wMeRABuBPevsR5bxZZ2,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/X99wMeRABuBPevsR5bxZZ2
02/04/2025,Residential Revision-Supplement,BR-SOL-24-00780.001,In Review,2628 65TH AVE N, ST PETERSBURG FL 33702,The main meter is under 200A. Need to change the meter to a main meter combo, relocate breaker injection, and remove the feed-through panel.,XPDXPK263bYjSrjH19cRg9,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/XPDXPK263bYjSrjH19cRg9,F48g7BBR2NrPcaoTr7pKJo,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/F48g7BBR2NrPcaoTr7pKJo,Uso7LbkJsGDA7xkDGKfHeP,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Uso7LbkJsGDA7xkDGKfHeP
